Data set for transition bands 25%..45%, using the "Blackman-Nuttall" window
----------------------------------------------------------------------------

Precise "fo", "hl" and "pwr" values for the specified "transition band" and
"attenuation" values. This data set can be used directly, or used for
obtaining equations (e.g. via the "Eureqa" application).

fo - "-3 dB" frequency offset multiplier
hl - length of half-band filter in samples (taps)
tb - transition band in percent * 0.01
pwr - power factor used in the generateBandPow() function
atten - resulting attenuation at 0.5 normalized frequency
req_atten - atten at modeling time (not important), used for check
atten_3db - resulting attenuation at -3 dB point.

fo	hl	tb	pwr	atten	req_atten	atten_3db
7.5922827161e-001	2.3405756489e+001	3.0355990638e-001	3.3362706254e-001	-60.440127	-48.92940	-3.00423
7.6562873217e-001	2.3906393056e+001	2.9566983157e-001	3.3362706254e-001	-62.116256	-48.88283	-3.01325
7.7233671938e-001	2.4409721272e+001	2.8786111985e-001	3.3362706254e-001	-47.051371	-48.76055	-3.01272
7.8043237281e-001	2.4881207451e+001	2.7882504553e-001	3.3362706254e-001	-44.965452	-47.66428	-3.01592
7.8569311853e-001	2.5456049303e+001	2.7247975704e-001	3.3362706254e-001	-45.237193	-46.04638	-3.01957
7.9284538829e-001	2.5983202210e+001	2.6445681438e-001	3.3362706254e-001	-43.771906	-44.74475	-3.02445
7.9974600080e-001	2.6531776196e+001	2.5673577253e-001	3.3362706254e-001	-42.525107	-43.39175	-2.98768
7.9554986769e-001	2.7471869774e+001	2.5941082213e-001	3.3362706254e-001	-57.468583	-48.88977	-2.98712
8.0203942467e-001	2.8067073690e+001	2.5021581781e-001	3.3362706254e-001	-46.563949	-48.34049	-3.00557
8.0864418829e-001	2.8672965143e+001	2.4255188384e-001	3.3362706254e-001	-45.525112	-47.60350	-3.00793
8.1373717410e-001	2.9348313169e+001	2.3628412876e-001	3.3362706254e-001	-45.557985	-46.09139	-3.00892

6.3473334592e-001	1.7446493141e+001	4.5516061178e-001	3.9950755914e-001	-51.463962	-49.52185	-3.00692
6.3344230985e-001	1.8006512854e+001	4.5375036524e-001	3.9950755914e-001	-62.724458	-54.00180	-3.01562
6.4100879749e-001	1.8327782323e+001	4.4483817743e-001	3.9950755914e-001	-62.718311	-53.80328	-3.01683
6.4410082684e-001	1.8786993114e+001	4.3991828710e-001	3.9950755914e-001	-73.077426	-59.69698	-3.01937
6.5665845564e-001	1.8980551040e+001	4.2686631974e-001	3.9950755914e-001	-63.229492	-58.19201	-3.02051
6.7311442602e-001	1.9072019580e+001	4.1046748456e-001	3.9950755914e-001	-50.138047	-52.05320	-3.01731
6.8724338167e-001	1.9240317784e+001	3.9615937546e-001	3.9950755914e-001	-45.077710	-47.87856	-3.01002
6.7780813218e-001	2.0093391984e+001	4.0267773349e-001	3.9950755914e-001	-53.310057	-53.60179	-2.96363
6.8772629539e-001	2.0397720021e+001	3.8965350375e-001	3.9950755914e-001	-50.932246	-51.71983	-3.02537
6.9214329745e-001	2.0875575810e+001	3.8379791756e-001	3.9950755914e-001	-53.290470	-52.56706	-3.01785
6.9513234045e-001	2.1409385965e+001	3.7888576817e-001	3.9950755914e-001	-57.940390	-54.90161	-3.01862
6.9844493748e-001	2.1947080505e+001	3.7366441756e-001	3.9950755914e-001	-65.874045	-58.37521	-3.02024
7.0935740746e-001	2.2257739079e+001	3.6166388172e-001	3.9950755914e-001	-56.662187	-54.75018	-3.01023
7.1802271905e-001	2.2648799850e+001	3.5172187199e-001	3.9950755914e-001	-54.149617	-54.01465	-3.01095
7.2804082219e-001	2.3007258559e+001	3.4060148740e-001	3.9950755914e-001	-50.543553	-51.86786	-3.01088
7.3809920367e-001	2.3374541057e+001	3.2948520413e-001	3.9950755914e-001	-47.504960	-49.41714	-3.01014
7.3278561243e-001	2.4250356097e+001	3.3241530637e-001	3.9950755914e-001	-54.199056	-53.80540	-3.00269
7.3901545619e-001	2.4767305274e+001	3.2467372345e-001	3.9950755914e-001	-54.628168	-53.91145	-3.00961
7.4350237590e-001	2.5356373643e+001	3.1879060254e-001	3.9950755914e-001	-57.098576	-55.29792	-3.00885
7.4871383693e-001	2.5935275684e+001	3.1229837439e-001	3.9950755914e-001	-58.805027	-56.75890	-3.00875
7.5801372907e-001	2.6385594344e+001	3.0211094959e-001	3.9950755914e-001	-53.693318	-53.45020	-3.01493
7.6584481612e-001	2.6899264201e+001	2.9333394268e-001	3.9950755914e-001	-51.609748	-52.27826	-3.01444
7.7417837253e-001	2.7408001385e+001	2.8415410974e-001	3.9950755914e-001	-49.189836	-50.46463	-3.01200
