Data set for transition bands 0.5%..25%, using the "Nuttall" window
-------------------------------------------------------------------

Precise "fo", "hl" and "pwr" values for the specified "transition band" and
"attenuation" values. This data set can be used directly, or used for
obtaining equations (e.g. via the "Eureqa" application).

fo - "-3 dB" frequency offset multiplier
hl - length of half-band filter in samples (taps)
tb - transition band in percent * 0.01
pwr - power factor used in the generateBandPow() function
atten - resulting attenuation at 0.5 normalized frequency
req_atten - atten at modeling time (not important), used for check
atten_3db - resulting attenuation at -3 dB point.

fo	hl	tb	pwr	atten	req_atten	atten_3db
9.8078187783e-001	3.4443991632e+002	2.3999119919e-002	4.1410939259e-001	-52.979530	-52.98677	-3.01029
9.8249619038e-001	3.7822281079e+002	2.1857800387e-002	4.1410939259e-001	-53.000757	-52.99904	-3.01031
9.8406317934e-001	4.1538259573e+002	1.9901296260e-002	4.1410939259e-001	-52.993253	-52.99147	-3.01031
9.8549176628e-001	4.5625849444e+002	1.8117538127e-002	4.1410939259e-001	-52.980966	-52.98753	-3.01031
9.8679225572e-001	5.0122291258e+002	1.6493328248e-002	4.1410939259e-001	-52.992150	-52.99357	-3.01031
9.8797844684e-001	5.5068324529e+002	1.5011966269e-002	4.1410939259e-001	-52.995097	-52.99426	-3.01034
9.8905949365e-001	6.0508948042e+002	1.3662121087e-002	4.1410939259e-001	-52.991906	-52.99302	-3.01029
9.9004424500e-001	6.6493638840e+002	1.2432370426e-002	4.1410939259e-001	-52.991074	-52.99260	-3.01030
9.9094103526e-001	7.3076809147e+002	1.1312483515e-002	4.1410939259e-001	-52.993551	-52.99353	-3.01031
9.9175783727e-001	8.0318286185e+002	1.0292483162e-002	4.1410939259e-001	-52.993269	-52.99277	-3.01034
9.9250149739e-001	8.8283915954e+002	9.3638495701e-003	4.1410939259e-001	-52.992777	-52.99323	-3.01031
9.9317849174e-001	9.7046111509e+002	8.5184132484e-003	4.1410939259e-001	-52.993623	-52.99363	-3.01033
9.9379483408e-001	1.0668451685e+003	7.7487677511e-003	4.1410939259e-001	-52.992158	-52.99312	-3.01033
9.9435578105e-001	1.1728676608e+003	7.0482890375e-003	4.1410939259e-001	-52.991050	-52.99273	-3.01033
9.9486621427e-001	1.2894924910e+003	6.4108755413e-003	4.1410939259e-001	-52.992674	-52.99315	-3.01031
9.9533074826e-001	1.4177797346e+003	5.8307628583e-003	4.1410939259e-001	-52.992479	-52.99323	-3.01035
9.9575344579e-001	1.5588956756e+003	5.3029290741e-003	4.1410939259e-001	-52.991716	-52.99296	-3.01034
9.9613800647e-001	1.7141232475e+003	4.8227088171e-003	4.1410939259e-001	-52.991372	-52.99321	-3.01033
9.9648788059e-001	1.8848735471e+003	4.3858000745e-003	4.1410939259e-001	-52.990487	-52.99281	-3.01034

7.7198116671e-001	2.5078332005e+001	2.8855265563e-001	3.4108144295e-001	-47.920260	-48.14667	-3.01155
7.9364601156e-001	2.6833121681e+001	2.6368827782e-001	3.4108144295e-001	-43.442181	-44.38966	-3.00484
8.0459931196e-001	2.9114615998e+001	2.4763949141e-001	3.4108144295e-001	-47.122154	-47.50659	-3.01199
8.2106333440e-001	3.1383888331e+001	2.2734859596e-001	3.4108144295e-001	-45.942441	-45.53533	-3.00799
8.3409299749e-001	3.3982992406e+001	2.1082921610e-001	3.4108144295e-001	-45.736002	-46.20184	-3.01419
8.4602703640e-001	3.6853991963e+001	1.9529718797e-001	3.4108144295e-001	-46.966109	-46.94205	-3.01172
8.5836929732e-001	3.9956486173e+001	1.7969752687e-001	3.4108144295e-001	-47.644047	-46.41965	-3.01001
8.7029613034e-001	4.3349799845e+001	1.6507061562e-001	3.4108144295e-001	-45.942770	-45.81700	-3.00567
8.8111784781e-001	4.7099124669e+001	1.5118766837e-001	3.4108144295e-001	-45.111534	-45.44994	-3.00943
8.9035054638e-001	5.1271791188e+001	1.3950002264e-001	3.4108144295e-001	-45.821347	-45.84011	-3.00721
8.9889539292e-001	5.5862845024e+001	1.2836055357e-001	3.4108144295e-001	-46.843569	-46.28625	-3.01004
9.0717193607e-001	6.0888501104e+001	1.1785203886e-001	3.4108144295e-001	-46.427530	-46.46498	-3.01083
9.1513991264e-001	6.6394190150e+001	1.0784561988e-001	3.4108144295e-001	-45.934300	-46.08237	-3.01023
9.2206121593e-001	7.2485394197e+001	9.8956653071e-002	3.4108144295e-001	-46.463133	-46.36655	-3.01043
9.2893090939e-001	7.9144279772e+001	9.0316241734e-002	3.4108144295e-001	-45.784803	-45.91841	-3.00995
9.3485405142e-001	8.6507112460e+001	8.2755083798e-002	3.4108144295e-001	-46.010445	-46.10464	-3.01015
9.4042418920e-001	9.4594203379e+001	7.5681327318e-002	3.4108144295e-001	-46.022874	-46.10532	-3.01015
9.4550963525e-001	1.0349396883e+002	6.9214408037e-002	3.4108144295e-001	-46.249140	-46.17122	-3.01003
9.5018216489e-001	1.1328353990e+002	6.3273934799e-002	3.4108144295e-001	-46.230253	-46.27139	-3.01054
9.5450814582e-001	1.2404713320e+002	5.7785346334e-002	3.4108144295e-001	-46.369952	-46.24544	-3.01101
9.5847836355e-001	1.3588663445e+002	5.2737405151e-002	3.4108144295e-001	-46.343657	-46.22777	-3.01028
9.6210536982e-001	1.4891179637e+002	4.8130700055e-002	3.4108144295e-001	-46.244624	-46.25783	-3.01040
9.6546089115e-001	1.6323366825e+002	4.3882723446e-002	3.4108144295e-001	-46.145007	-46.15677	-3.00994
9.6850312932e-001	1.7899301494e+002	4.0016637692e-002	3.4108144295e-001	-46.123222	-46.15376	-3.01006
9.7126233663e-001	1.9633297556e+002	3.6502711447e-002	3.4108144295e-001	-46.257763	-46.23287	-3.01047
9.7381593196e-001	2.1539995412e+002	3.3260554642e-002	3.4108144295e-001	-46.205340	-46.19248	-3.01023
9.7613224899e-001	2.3637770190e+002	3.0317134815e-002	3.4108144295e-001	-46.242473	-46.22696	-3.01043
9.7826007769e-001	2.5944990840e+002	2.7617113150e-002	3.4108144295e-001	-46.213346	-46.20032	-3.01011
9.8019345852e-001	2.8483197258e+002	2.5158476124e-002	3.4108144295e-001	-46.221791	-46.22467	-3.01034
9.8196186721e-001	3.1275092261e+002	2.2912277220e-002	3.4108144295e-001	-46.221346	-46.22206	-3.01033
9.8357719010e-001	3.4346102302e+002	2.0861064220e-002	3.4108144295e-001	-46.212059	-46.20373	-3.01028
9.8504631802e-001	3.7724365232e+002	1.8994657133e-002	3.4108144295e-001	-46.211569	-46.21721	-3.01034
9.8638867681e-001	4.1440329497e+002	1.7289803244e-002	3.4108144295e-001	-46.197339	-46.20373	-3.01029
9.8761105781e-001	4.5527941998e+002	1.5737220149e-002	3.4108144295e-001	-46.201103	-46.20154	-3.01028
9.8872336401e-001	5.0024395754e+002	1.4324079089e-002	3.4108144295e-001	-46.219404	-46.21353	-3.01036
9.8973823997e-001	5.4970410904e+002	1.3034887761e-002	3.4108144295e-001	-46.207475	-46.21055	-3.01032
