Data set for transition bands 22%..40%
--------------------------------------

Precise "fo", "hl" and "pwr" values for the specified "transition band" and
"attenuation" values. This data set can be used directly, or used for
obtaining equations (e.g. via the "Eureqa" application).

fo - "-3 dB" frequency offset multiplier
hl - length of half-band filter in samples (taps)
tb - transition band in percent * 0.01
pwr - power factor used in the generateBandPow() function
atten - resulting attenuation at 0.5 normalized frequency
req_atten - atten at modeling time (not important), used for check
atten_3db - resulting attenuation at -3 dB point.

fo	hl	tb	pwr	atten	req_atten	atten_3db
7.5117537274e-001	2.0082118885e+001	3.2049027324e-001	4.1223811633e-001	-44.819189	-43.36999	-3.02535
7.6351091724e-001	2.0745548541e+001	3.0509612750e-001	4.1223811633e-001	-40.563948	-41.61613	-3.01657
7.7374818884e-001	2.1494622766e+001	2.9213749071e-001	4.1223811633e-001	-39.248082	-39.99273	-3.01415
7.8285180613e-001	2.2306899684e+001	2.8060944918e-001	4.1223811633e-001	-38.970285	-38.90897	-3.00938
7.8668658673e-001	2.3308070649e+001	2.7410987425e-001	4.1223811633e-001	-43.036742	-41.71551	-3.00427
7.9611399666e-001	2.4183664589e+001	2.6266437342e-001	4.1223811633e-001	-41.909240	-41.95175	-3.00682
8.0482577638e-001	2.5117984732e+001	2.5220076560e-001	4.1223811633e-001	-40.395307	-40.95477	-3.01797
8.1369432412e-001	2.6086431983e+001	2.4184480502e-001	4.1223811633e-001	-39.409338	-39.67804	-3.01978
8.1845533735e-001	2.7231419610e+001	2.3485648610e-001	4.1223811633e-001	-42.051672	-41.32388	-2.99936
8.2648667382e-001	2.8315139857e+001	2.2406240817e-001	4.1223811633e-001	-41.164195	-41.49828	-3.01555
8.3378651762e-001	2.9470601321e+001	2.1452594137e-001	4.1223811633e-001	-40.305521	-40.63132	-3.01247
8.4008967629e-001	3.0711958828e+001	2.0627870369e-001	4.1223811633e-001	-40.837297	-40.62745	-3.00721

6.6004783472e-001	2.0729883722e+001	4.2351839258e-001	6.6313559921e-001	-52.039773	-53.84077	-3.00970
6.7449412541e-001	2.1300186417e+001	4.0722286129e-001	6.6313559921e-001	-49.082068	-51.79900	-3.00366
6.8044076202e-001	2.2169737589e+001	3.9781153138e-001	6.6313559921e-001	-52.157481	-53.67949	-3.01140
6.8426065363e-001	2.3148273559e+001	3.9040181800e-001	6.6313559921e-001	-59.220173	-57.03781	-3.01189
6.9025527462e-001	2.4094601008e+001	3.8125771190e-001	6.6313559921e-001	-73.088439	-61.54567	-3.01116
7.0766495698e-001	2.4676927315e+001	3.6203163415e-001	6.6313559921e-001	-56.802336	-56.58847	-3.01042
7.2113355618e-001	2.5426838600e+001	3.4644900376e-001	6.6313559921e-001	-52.657317	-54.46542	-3.00907
7.2736184847e-001	2.6469567946e+001	3.3751743181e-001	6.6313559921e-001	-55.982451	-56.52983	-3.00953
7.3364126581e-001	2.7555158774e+001	3.2874300944e-001	6.6313559921e-001	-61.221738	-58.93654	-3.01122
7.4432211705e-001	2.8517736011e+001	3.1613782867e-001	6.6313559921e-001	-59.736292	-58.55581	-3.01180
7.5666250802e-001	2.9455272974e+001	3.0209596764e-001	6.6313559921e-001	-54.820894	-56.06135	-3.00742
7.6333941350e-001	3.0657510074e+001	2.9299772210e-001	6.6313559921e-001	-57.451499	-57.56300	-3.01103
7.7063096345e-001	3.1885806842e+001	2.8341634517e-001	6.6313559921e-001	-60.403420	-58.91099	-3.01075
7.8175803599e-001	3.3003561667e+001	2.7039964056e-001	6.6313559921e-001	-56.050986	-56.78454	-3.00997
7.8891075894e-001	3.4339548828e+001	2.6119324730e-001	6.6313559921e-001	-57.304417	-57.69138	-3.00990
7.9586547332e-001	3.5741444324e+001	2.5230995095e-001	6.6313559921e-001	-59.460663	-58.59865	-3.01108
8.0530873329e-001	3.7088447379e+001	2.4124094612e-001	6.6313559921e-001	-56.610491	-57.17542	-3.00914
8.1191892438e-001	3.8625818620e+001	2.3275253000e-001	6.6313559921e-001	-57.944925	-58.01707	-3.01071
8.1894325085e-001	4.0209238832e+001	2.2390595647e-001	6.6313559921e-001	-58.968459	-58.41345	-3.01047
8.2679645291e-001	4.1818683280e+001	2.1438045770e-001	6.6313559921e-001	-57.243451	-57.64052	-3.00998
8.3294085908e-001	4.3585706663e+001	2.0657768673e-001	6.6313559921e-001	-58.777069	-58.38940	-3.01068

6.5950247839e-001	1.6255837508e+001	4.2995897996e-001	4.5660220931e-001	-60.364310	-44.63537	-3.00290
6.6509670639e-001	1.6925062586e+001	4.2103773325e-001	4.5660220931e-001	-72.707327	-52.33284	-3.00751
6.8576571533e-001	1.7235687475e+001	3.9937319537e-001	4.5660220931e-001	-46.398798	-47.99829	-3.01603
7.0285118027e-001	1.7657544123e+001	3.8111949037e-001	4.5660220931e-001	-41.482656	-43.89442	-3.02790
7.1761398994e-001	1.8159006370e+001	3.6518109723e-001	4.5660220931e-001	-39.084137	-40.87106	-3.02759
7.2725448863e-001	1.8814204764e+001	3.5404345789e-001	4.5660220931e-001	-39.514426	-39.95290	-2.98916
7.2856590652e-001	1.9719356176e+001	3.4860871932e-001	4.5660220931e-001	-46.832787	-43.38979	-3.00486
7.3509013532e-001	2.0521555676e+001	3.3785918051e-001	4.5660220931e-001	-49.031315	-46.25921	-3.01738
7.4785477721e-001	2.1179851060e+001	3.2213871625e-001	4.5660220931e-001	-44.374852	-45.18368	-3.01449
7.6008562922e-001	2.1880989188e+001	3.0732493620e-001	4.5660220931e-001	-41.782183	-42.96876	-3.01268
7.7162059276e-001	2.2631584578e+001	2.9347739453e-001	4.5660220931e-001	-40.173623	-40.89971	-3.00866
7.7475811598e-001	2.3666930574e+001	2.8751148701e-001	4.5660220931e-001	-45.417108	-43.62947	-3.00616
7.8249308364e-001	2.4604631366e+001	2.7750989442e-001	4.5660220931e-001	-45.397438	-44.89325	-3.00965
7.9231705951e-001	2.5514535274e+001	2.6587853336e-001	4.5660220931e-001	-43.236986	-43.86723	-3.01651
8.0235668996e-001	2.6455044130e+001	2.5429084768e-001	4.5660220931e-001	-41.577966	-42.26683	-3.01109
8.0765199855e-001	2.7595673338e+001	2.4685876079e-001	4.5660220931e-001	-44.427571	-43.46900	-3.00461
8.1471512987e-001	2.8724255757e+001	2.3708592451e-001	4.5660220931e-001	-44.346635	-44.34306	-3.01348
8.2305962971e-001	2.9854689940e+001	2.2653889826e-001	4.5660220931e-001	-42.872377	-43.35124	-3.01145
8.3037467708e-001	3.1071274524e+001	2.1725890261e-001	4.5660220931e-001	-42.887106	-42.85271	-3.00790
8.3589488294e-001	3.2409385534e+001	2.0980231998e-001	4.5660220931e-001	-44.452135	-44.02451	-3.00959

6.4458078590e-001	1.8336946755e+001	4.4075709488e-001	5.3907545059e-001	-63.262279	-57.70099	-3.00944
6.6399040727e-001	1.8690971423e+001	4.2024301732e-001	5.3907545059e-001	-58.148601	-55.40715	-3.01560
6.8725806503e-001	1.8961082710e+001	3.9656449189e-001	5.3907545059e-001	-45.328029	-47.97848	-3.01580
7.0385189405e-001	1.9439764218e+001	3.7895515504e-001	5.3907545059e-001	-42.093655	-44.42300	-3.00361
7.0766386920e-001	2.0301800379e+001	3.7177844837e-001	5.3907545059e-001	-46.771752	-45.94410	-3.00595
7.1086502261e-001	2.1220896596e+001	3.6440412406e-001	5.3907545059e-001	-51.967444	-49.25139	-3.01096
7.1848523788e-001	2.2045620370e+001	3.5345145834e-001	5.3907545059e-001	-54.257155	-52.02993	-3.01278
7.3257820013e-001	2.2702593979e+001	3.3696568276e-001	5.3907545059e-001	-49.191793	-49.90904	-3.01154
7.4751345573e-001	2.3361447976e+001	3.1994269665e-001	5.3907545059e-001	-44.991979	-46.63462	-3.01004
7.5366530014e-001	2.4329296491e+001	3.1107759388e-001	5.3907545059e-001	-48.079767	-47.39136	-3.00890
7.5909498922e-001	2.5363036436e+001	3.0302503297e-001	5.3907545059e-001	-50.876685	-49.63798	-3.00934
7.6838008143e-001	2.6309377418e+001	2.9169414767e-001	5.3907545059e-001	-50.003265	-49.89184	-3.01152
7.8008072673e-001	2.7210493624e+001	2.7835830316e-001	5.3907545059e-001	-47.098723	-48.01854	-3.01139
7.8780080613e-001	2.8291035690e+001	2.6867074084e-001	5.3907545059e-001	-48.258176	-47.86291	-3.00819
7.9364445938e-001	2.9486863397e+001	2.6020190444e-001	5.3907545059e-001	-50.002182	-49.43370	-3.01093
8.0241876862e-001	3.0622651175e+001	2.4923421132e-001	5.3907545059e-001	-48.800650	-49.03204	-3.01083
8.1179083361e-001	3.1782570684e+001	2.3792330191e-001	5.3907545059e-001	-47.429463	-47.72507	-3.00990
8.1721202282e-001	3.3150319343e+001	2.3044627861e-001	5.3907545059e-001	-49.342031	-48.92157	-3.00986
8.2459647521e-001	3.4496123084e+001	2.2131135025e-001	5.3907545059e-001	-48.862635	-48.97479	-3.01107
8.3273256882e-001	3.5867037867e+001	2.1165367587e-001	5.3907545059e-001	-47.943514	-48.03281	-3.00928
8.3810811926e-001	3.7418839392e+001	2.0428892086e-001	5.3907545059e-001	-49.223888	-49.00249	-3.01056

6.4827794420e-001	2.0101188280e+001	4.3507571488e-001	6.2117510035e-001	-90.008089	-60.14991	-3.01901
6.7749685570e-001	2.0195982830e+001	4.0621980468e-001	6.2117510035e-001	-46.932595	-49.61336	-3.01239
6.8613342589e-001	2.0938858342e+001	3.9497092074e-001	6.2117510035e-001	-47.764832	-49.78365	-3.00290
6.9075940582e-001	2.1838563488e+001	3.8661520767e-001	6.2117510035e-001	-51.707579	-51.80933	-3.01086
6.9425601098e-001	2.2815002744e+001	3.7945312186e-001	6.2117510035e-001	-60.056448	-55.98580	-3.01246
